"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
46065340017,3495;2;1;1;61;;;;;;;;;"12/02/2026 08:09:37";"Vibration feeder heater failure";"HMI_Connection_1"
46065342563,6458;2;0;1;61;;;;;;;;;"12/02/2026 08:13:17";"Vibration feeder heater failure";"HMI_Connection_1"
46065344647,0023;2;1;1;61;;;;;;;;;"12/02/2026 08:16:18";"Vibration feeder heater failure";"HMI_Connection_1"
46065345248,8542;2;0;1;61;;;;;;;;;"12/02/2026 08:17:10";"Vibration feeder heater failure";"HMI_Connection_1"
46065777889,8264;2;1;1;79;;;;;;;;;"12/02/2026 18:40:10";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065778352,7778;2;0;1;79;;;;;;;;;"12/02/2026 18:40:50";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065778410,6713;2;1;1;79;;;;;;;;;"12/02/2026 18:40:55";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065778433,7963;2;0;1;79;;;;;;;;;"12/02/2026 18:40:57";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065778503,2523;2;1;1;79;;;;;;;;;"12/02/2026 18:41:03";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065778607,4074;2;0;1;79;;;;;;;;;"12/02/2026 18:41:12";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065778688,4375;2;1;1;79;;;;;;;;;"12/02/2026 18:41:19";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065778804,1782;2;0;1;79;;;;;;;;;"12/02/2026 18:41:29";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065779000,9259;2;1;1;79;;;;;;;;;"12/02/2026 18:41:46";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065779463,8889;2;0;1;79;;;;;;;;;"12/02/2026 18:42:26";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065779521,7824;2;1;1;79;;;;;;;;;"12/02/2026 18:42:31";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065780204,6528;2;0;1;79;;;;;;;;;"12/02/2026 18:43:30";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065805135,3241;2;1;1;79;;;;;;;;;"12/02/2026 19:19:24";"Damaged water pressure sensor in the network";"HMI_Connection_1"
